# Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr) Anki CSV export
#separator:Comma
#columns:ID,Front,Back,Tags,DeckName
#notetype:MAG PP EnGr
#deck column:5
#html:false
πείσω,Future of πείθω,πείσω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
ἔπεισα,Aorist of πείθω,ἔπεισα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
ἐπείσθην,Aorist Passive of πείθω,ἐπείσθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
πέμψω,Future of πέμπω,πέμψω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
ἔπεμψα,Aorist of πέμπω,ἔπεμψα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
ἐπέμθην,Aorist Passive of πέμπω,ἐπέμθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
οἴσω,Future of φέρω,οἴσω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
ἤνεγκον,Aorist #1 of φέρω (same meaning),ἤνεγκον,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
ἤνεγκα,Aorist #2 of φέρω (same meaning),ἤνεγκα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
ἠψέχθην,Aorist Passive of φέρω,ἠψέχθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
φεύξομαι,Future #1 of φεύγω (same meaning),φεύξομαι,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
φευξέομαι,Future #2 of φεύγω (same meaning),φευξέομαι,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
ἔφυγον,Aorist of φεύγω,ἔφυγον,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 05
ἀκούσομαι,Future of ἀκούω,ἀκούσομαι,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἤκουσα,Aorist of ἀκούω,ἤκουσα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἠκούσθην,Aorist Passive of ἀκούω,ἠκούσθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
βλάψω,Future of βλάπτω,βλάψω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἔβλαψα,Aorist of βλάπτω,ἔβλαψα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἐβλάβην,Aorist Passive #1 of βλάπτω (same meaning),ἐβλάβην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἐβλάφθην,Aorist Passive #2 of βλάπτω (same meaning),ἐβλάφθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
κελεύσω,Future of κελεύω,κελεύσω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἐκέλευσα,Aorist of κελεύω,ἐκέλευσα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἐκελεύσθην,Aorist Passive of κελεύω,ἐκελεύσθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
τάξω,Future of τάττω,τάξω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἔταξα,Aorist of τάττω,ἔταξα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἐτάχθην,Aorist Passive of τάττω,ἐτάχθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
δεήσει,Future of δεῖ,δεήσει,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἐδέησε,Aorist of δεῖ,ἐδέησε,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
δόξει,Future of δοκεῖ,δόξει,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἔδοξε,Aorist of δοκεῖ,ἔδοξε,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
ἐξέσται,Future of ἔξεστι,ἐξέσται,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
χρήσται,Future of χρή,χρήσται,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 09
βαλέω,Future of βάλλω,βαλέω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
ἔβαλον,Aorist of βάλλω,ἔβαλον,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
ἐβληθην,Aorist Passive of βάλλω,ἐβληθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
ἔσομαι,Future of εἰμί,ἔσομαι,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
εὑρησω,Future of εὑρίσκω,εὑρησω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
ηὗρον,Aorist of εὑρίσκω,ηὗρον,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
ηὑρέθην,Aorist Passive of εὑρίσκω,ηὑρέθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
πείσομαι,Future of πάσχω,πείσομαι,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
ἔπαθον,Aorist of πάσχω,ἔπαθον,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
πράξω,Future of πράττω,πράξω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
ἔπραξα,Aorist of πράττω,ἔπραξα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
ἐπάχθην,Aorist Passive of πράττω,ἐπάχθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 10
ἀποκτενέω,Future of ἀποκτείνω,ἀποκτενέω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἀπέκτεινα,Aorist of ἀποκτείνω,ἀπέκτεινα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
βουλεύσω,Future of βουλεύω,βουλεύσω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐβούλευσα,Aorist of βουλεύω,ἐβούλευσα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐβουλεύθην,Aorist Passive of βουλεύω,ἐβουλεύθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
γυμνάσω,Future of γυμνάζω,γυμνάσω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐγύνμασα,Aorist of γυμνάζω,ἐγύνμασα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐγυμνάσθην,Aorist Passive of γυμνάζω,ἐγυμνάσθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
δικάσω,Future of δικάζω,δικάσω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐδίκασα,Aorist of δικάζω,ἐδίκασα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐδικάσθην,Aorist Passive of δικάζω,ἐδικάσθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
κόψω,Future of κόπτω,κόψω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἔκοψα,Aorist of κόπτω,ἔκοψα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
-εκόπην,Aorist Passive of κόπτω,-εκόπην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
παρασκευάσω,Future of παρασκευάζω,παρασκευάσω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
παρεσκεύασα,Aorist of παρασκευάζω,παρεσκεύασα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
παρεσκευάσθην,Aorist Passive of παρασκευάζω,παρεσκευάσθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
πολιτεύσω,Future of πολιτεύω,πολιτεύσω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐπολίτευσα,Aorist of πολιτεύω,ἐπολίτευσα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐπολιτεύθην,Aorist Passive of πολιτεύω,ἐπολιτεύθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
σπείσω,Future of σπένδω,σπείσω,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἔσπεισα,Aorist of σπένδω,ἔσπεισα,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
αἰσθήσομαι,Future of αἰσθάνομαι,αἰσθήσομαι,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ᾐσθόμην,Aorist of αἰσθάνομαι,ᾐσθόμην,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
βουλήσομαι,Future of βούλομαι,βουλήσομαι,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐβουλήθην,Aorist Passive of βούλομαι,ἐβουλήθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
γενήσομαι,Future of γίγνομαι,γενήσομαι,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐγενόμην,Aorist of γίγνομαι,ἐγενόμην,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐγενήθην,Aorist Passive of γίγνομαι,ἐγενήθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἐλεύσομαι,Future of ἔρχομαι,ἐλεύσομαι,pp::future,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
ἦλθον (stem ἐλθ-),Aorist of ἔρχομαι,ἦλθον (stem ἐλθ-),pp::aorist,Mastronarde AtticGreek Principal Parts 1-3+6 (EnGr)::Unit 11
