# Mastronarde AtticGreek Principal Parts (Incr,GrEn) Anki CSV export
#separator:Comma
#columns:ID,Front,Back,Tags,DeckName
#notetype:MAG PP GrEn
#deck column:5
#html:false
σχήσω,σχήσω,Future #2 of ἔχω (same meaning),pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔσχον,ἔσχον,Aorist of ἔχω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔσχηκα,ἔσχηκα,Perfect of ἔχω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
-έσχημαι,-έσχημαι,Perfect Middle of ἔχω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
(ἐσχέθην),(ἐσχέθην),Aorist Passive of ἔχω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
λήψομαι,λήψομαι,Future of λαμβάνω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔλαβον,ἔλαβον,Aorist of λαμβάνω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
εἴληφα,εἴληφα,Perfect of λαμβάνω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
εἴλημμαι,εἴλημμαι,Perfect Middle of λαμβάνω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἐλήφθην,ἐλήφθην,Aorist Passive of λαμβάνω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
λέξω,λέξω,Future of λέγω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔλεξα,ἔλεξα,Aorist of λέγω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
λέλεγμαι,λέλεγμαι,Perfect Middle of λέγω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἐλέχθην,ἐλέχθην,Aorist Passive of λέγω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
λείψω,λείψω,Future of λείπω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔλιπον,ἔλιπον,Aorist of λείπω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
λέλοιπα,λέλοιπα,Perfect of λείπω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
λέλειμμαι,λέλειμμαι,Perfect Middle of λείπω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἐλείφθην,ἐλείφθην,Aorist Passive of λείπω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
λύσω,λύσω,Future of λύω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔλυσα,ἔλυσα,Aorist of λύω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
λέλυκα,λέλυκα,Perfect of λύω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
λέλυμαι,λέλυμαι,Perfect Middle of λύω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἐλύθην,ἐλύθην,Aorist Passive of λύω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
μενέω,μενέω,Future of μένω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔμεινα,ἔμεινα,Aorist of μένω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
μεμένηκα,μεμένηκα,Perfect of μένω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
πείσω,πείσω,Future of πείθω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔπεισα,ἔπεισα,Aorist of πείθω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
πέπεικα,πέπεικα,Perfect #1 of πείθω (diff. meaning),pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
πέποιθα,πέποιθα,Perfect #2 of πείθω (diff. meaning),pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
πέπισμαι,πέπισμαι,Perfect Middle of πείθω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἐπείσθην,ἐπείσθην,Aorist Passive of πείθω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
πέμψω,πέμψω,Future of πέμπω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔπεμψα,ἔπεμψα,Aorist of πέμπω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
πέπομφα,πέπομφα,Perfect of πέμπω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
πέπεμμαι,πέπεμμαι,Perfect Middle of πέμπω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἐπέμθην,ἐπέμθην,Aorist Passive of πέμπω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
οἴσω,οἴσω,Future of φέρω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἤνεγκον,ἤνεγκον,Aorist #1 of φέρω (same meaning),pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἤνεγκα,ἤνεγκα,Aorist #2 of φέρω (same meaning),pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἐνήνοχα,ἐνήνοχα,Perfect of φέρω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἐνήνεγμαι,ἐνήνεγμαι,Perfect Middle of φέρω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἠψέχθην,ἠψέχθην,Aorist Passive of φέρω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
φεύξομαι,φεύξομαι,Future #1 of φεύγω (same meaning),pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
φευξέομαι,φευξέομαι,Future #2 of φεύγω (same meaning),pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἔφυγον,ἔφυγον,Aorist of φεύγω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
πέξευγα,πέξευγα,Perfect of φεύγω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἀκούσομαι,ἀκούσομαι,Future of ἀκούω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
ἤκουσα,ἤκουσα,Aorist of ἀκούω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
ἀκήκοα,ἀκήκοα,Perfect of ἀκούω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 09"
ἠκούσθην,ἠκούσθην,Aorist Passive of ἀκούω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 09"
βλάψω,βλάψω,Future of βλάπτω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
ἔβλαψα,ἔβλαψα,Aorist of βλάπτω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
βέβλαφα,βέβλαφα,Perfect of βλάπτω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 09"
βέβλαμμαι,βέβλαμμαι,Perfect Middle of βλάπτω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 09"
ἐβλάβην,ἐβλάβην,Aorist Passive #1 of βλάπτω (same meaning),pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 09"
ἐβλάφθην,ἐβλάφθην,Aorist Passive #2 of βλάπτω (same meaning),pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 09"
κελεύσω,κελεύσω,Future of κελεύω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
ἐκέλευσα,ἐκέλευσα,Aorist of κελεύω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
κεκέλευκα,κεκέλευκα,Perfect of κελεύω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 09"
κεκέλευσμαι,κεκέλευσμαι,Perfect Middle of κελεύω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 09"
ἐκελεύσθην,ἐκελεύσθην,Aorist Passive of κελεύω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 09"
τάξω,τάξω,Future of τάττω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
ἔταξα,ἔταξα,Aorist of τάττω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
τέταχα,τέταχα,Perfect of τάττω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 09"
